,date,sales,sales_diff
1,2010-03-04,2578730,98606.0
2,2010-06-04,2557356,-21374.0
3,2010-08-04,2593580,36224.0
4,2010-11-04,2492183,-101397.0
5,2011-02-04,3382588,890405.0
6,2011-05-02,3207568,-175020.0
7,2011-08-04,3073175,-134393.0
8,2011-11-04,2652700,-420475.0
9,2012-02-03,3336992,684292.0
10,2012-05-02,3320744,-16248.0
11,2012-08-03,3044901,-275843.0
12,2012-11-02,2390625,-654276.0
13,2013-03-04,3147224,756599.0
14,2013-06-04,3039487,-107737.0
15,2013-08-02,2890263,-149224.0
16,2013-11-01,2354005,-536258.0
17,2014-03-04,3010801,656796.0
18,2014-06-04,2834558,-176243.0
19,2014-09-04,2698071,-136487.0
20,2014-12-27,3185018,486947.0
21,2015-04-03,3020137,-164881.0
22,2015-07-03,2977466,-42671.0
23,2015-10-03,2810583,-166883.0
24,2015-12-28,2981494,170911.0
25,2016-04-04,2696528,-284966.0
26,2016-07-04,2532488,-164040.0
27,2016-11-04,2287521,-244967.0
28,2017-02-03,2730184,442663.0
29,2017-05-02,2688847,-41337.0
30,2017-08-04,2496033,-192814.0
